"Region","Technology","Data Type","Year",Electricity statistics
"World","Solar energy","Electricity Generation (GWh)","2002",1949.74
"World","Solar energy","Electricity Generation (GWh)","2003",2366.46
"World","Solar energy","Electricity Generation (GWh)","2004",3059.68
"World","Solar energy","Electricity Generation (GWh)","2005",4375.43
"World","Solar energy","Electricity Generation (GWh)","2006",5988.64
"World","Solar energy","Electricity Generation (GWh)","2007",8072.32
"World","Solar energy","Electricity Generation (GWh)","2008",12743.47
"World","Solar energy","Electricity Generation (GWh)","2009",20936.06
"World","Solar energy","Electricity Generation (GWh)","2010",33748.99
"World","Solar energy","Electricity Generation (GWh)","2011",65600.55
"World","Solar energy","Electricity Generation (GWh)","2012",101650.80
"World","Solar energy","Electricity Generation (GWh)","2013",137356.61
"World","Solar energy","Electricity Generation (GWh)","2014",192590.23
"World","Solar energy","Electricity Generation (GWh)","2015",252257.79
"World","Solar energy","Electricity Generation (GWh)","2016",324785.59
"World","Solar energy","Electricity Generation (GWh)","2017",437503.95
"World","Solar energy","Electricity Generation (GWh)","2018",560024.70
"World","Solar energy","Electricity Generation (GWh)","2019",689891.20
"World","Solar energy","Electricity Generation (GWh)","2020",835673.96
"World","Solar energy","Electricity Generation (GWh)","2021",1030559.35
"World","Solar energy","Electricity Generation (GWh)","2022",1294470.19
"World","Solar energy","Electricity Generation (GWh)","2023",-
"World","Solar energy","Electricity Installed Capacity (MW)","2000",1215.68
"World","Solar energy","Electricity Installed Capacity (MW)","2001",1465.53
"World","Solar energy","Electricity Installed Capacity (MW)","2002",1810.80
"World","Solar energy","Electricity Installed Capacity (MW)","2003",2334.37
"World","Solar energy","Electricity Installed Capacity (MW)","2004",3418.52
"World","Solar energy","Electricity Installed Capacity (MW)","2005",4925.01
"World","Solar energy","Electricity Installed Capacity (MW)","2006",6475.28
"World","Solar energy","Electricity Installed Capacity (MW)","2007",8947.76
"World","Solar energy","Electricity Installed Capacity (MW)","2008",15215.49
"World","Solar energy","Electricity Installed Capacity (MW)","2009",23536.86
"World","Solar energy","Electricity Installed Capacity (MW)","2010",41530.93
"World","Solar energy","Electricity Installed Capacity (MW)","2011",72820.00
"World","Solar energy","Electricity Installed Capacity (MW)","2012",103027.93
"World","Solar energy","Electricity Installed Capacity (MW)","2013",140208.53
"World","Solar energy","Electricity Installed Capacity (MW)","2014",179631.53
"World","Solar energy","Electricity Installed Capacity (MW)","2015",228073.76
"World","Solar energy","Electricity Installed Capacity (MW)","2016",300137.74
"World","Solar energy","Electricity Installed Capacity (MW)","2017",395846.19
"World","Solar energy","Electricity Installed Capacity (MW)","2018",491980.25
"World","Solar energy","Electricity Installed Capacity (MW)","2019",595019.63
"World","Solar energy","Electricity Installed Capacity (MW)","2020",726221.35
"World","Solar energy","Electricity Installed Capacity (MW)","2021",870634.96
"World","Solar energy","Electricity Installed Capacity (MW)","2022",1070843.39
"World","Solar energy","Electricity Installed Capacity (MW)","2023",1418008.17
"World","Wind energy","Electricity Generation (GWh)","2000",30944.47
"World","Wind energy","Electricity Generation (GWh)","2001",37739.96
"World","Wind energy","Electricity Generation (GWh)","2002",52423.90
"World","Wind energy","Electricity Generation (GWh)","2003",63390.16
"World","Wind energy","Electricity Generation (GWh)","2004",84097.63
"World","Wind energy","Electricity Generation (GWh)","2005",103224.40
"World","Wind energy","Electricity Generation (GWh)","2006",129518.19
"World","Wind energy","Electricity Generation (GWh)","2007",168893.87
"World","Wind energy","Electricity Generation (GWh)","2008",216884.95
"World","Wind energy","Electricity Generation (GWh)","2009",272028.80
"World","Wind energy","Electricity Generation (GWh)","2010",342840.29
"World","Wind energy","Electricity Generation (GWh)","2011",433781.08
"World","Wind energy","Electricity Generation (GWh)","2012",526112.58
"World","Wind energy","Electricity Generation (GWh)","2013",636479.68
"World","Wind energy","Electricity Generation (GWh)","2014",712130.47
"World","Wind energy","Electricity Generation (GWh)","2015",827885.66
"World","Wind energy","Electricity Generation (GWh)","2016",952943.69
"World","Wind energy","Electricity Generation (GWh)","2017",1131754.92
"World","Wind energy","Electricity Generation (GWh)","2018",1258925.98
"World","Wind energy","Electricity Generation (GWh)","2019",1412635.71
"World","Wind energy","Electricity Generation (GWh)","2020",1588318.71
"World","Wind energy","Electricity Generation (GWh)","2021",1840364.15
"World","Wind energy","Electricity Generation (GWh)","2022",2098332.16
"World","Wind energy","Electricity Generation (GWh)","2023",-
"World","Wind energy","Electricity Installed Capacity (MW)","2000",16963.68
"World","Wind energy","Electricity Installed Capacity (MW)","2001",23958.91
"World","Wind energy","Electricity Installed Capacity (MW)","2002",30724.98
"World","Wind energy","Electricity Installed Capacity (MW)","2003",38664.06
"World","Wind energy","Electricity Installed Capacity (MW)","2004",47659.21
"World","Wind energy","Electricity Installed Capacity (MW)","2005",58467.66
"World","Wind energy","Electricity Installed Capacity (MW)","2006",73147.61
"World","Wind energy","Electricity Installed Capacity (MW)","2007",91520.79
"World","Wind energy","Electricity Installed Capacity (MW)","2008",115535.21
"World","Wind energy","Electricity Installed Capacity (MW)","2009",150102.97
"World","Wind energy","Electricity Installed Capacity (MW)","2010",181060.72
"World","Wind energy","Electricity Installed Capacity (MW)","2011",220199.20
"World","Wind energy","Electricity Installed Capacity (MW)","2012",267310.00
"World","Wind energy","Electricity Installed Capacity (MW)","2013",299928.63
"World","Wind energy","Electricity Installed Capacity (MW)","2014",349458.12
"World","Wind energy","Electricity Installed Capacity (MW)","2015",416435.15
"World","Wind energy","Electricity Installed Capacity (MW)","2016",467240.84
"World","Wind energy","Electricity Installed Capacity (MW)","2017",514930.26
"World","Wind energy","Electricity Installed Capacity (MW)","2018",563680.06
"World","Wind energy","Electricity Installed Capacity (MW)","2019",622730.32
"World","Wind energy","Electricity Installed Capacity (MW)","2020",733472.53
"World","Wind energy","Electricity Installed Capacity (MW)","2021",824320.86
"World","Wind energy","Electricity Installed Capacity (MW)","2022",902883.37
"World","Wind energy","Electricity Installed Capacity (MW)","2023",1017390.45
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2000",2614567.10
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2001",2551854.88
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2002",2620288.92
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2003",2620700.02
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2004",2797291.39
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2005",2912745.74
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2006",3024562.81
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2007",3062050.49
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2008",3208968.84
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2009",3261426.23
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2010",3428368.36
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2011",3493733.00
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2012",3680086.86
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2013",3789850.27
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2014",3893169.49
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2015",3894991.98
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2016",4037459.34
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2017",4087703.67
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2018",4208483.36
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2019",4253382.82
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2020",4369055.00
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2021",4296551.04
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2022",4330106.89
"World","Hydropower (excl. pumped storage)","Electricity Generation (GWh)","2023",-
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2000",696580.42
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2001",709694.94
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2002",720965.04
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2003",741794.24
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2004",762444.14
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2005",784837.17
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2006",806594.59
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2007",833796.43
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2008",862593.86
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2009",892389.77
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2010",925870.20
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2011",953932.12
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2012",984707.88
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2013",1029604.46
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2014",1067333.76
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2015",1099508.17
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2016",1130044.91
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2017",1151057.56
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2018",1173784.12
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2019",1192480.65
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2020",1212866.15
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2021",1235192.88
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2022",1258170.03
"World","Hydropower (excl. pumped storage)","Electricity Installed Capacity (MW)","2023",1264741.54
"World","Marine energy","Electricity Generation (GWh)","2000",546.77
"World","Marine energy","Electricity Generation (GWh)","2001",524.39
"World","Marine energy","Electricity Generation (GWh)","2002",533.89
"World","Marine energy","Electricity Generation (GWh)","2003",530.83
"World","Marine energy","Electricity Generation (GWh)","2004",508.63
"World","Marine energy","Electricity Generation (GWh)","2005",516.35
"World","Marine energy","Electricity Generation (GWh)","2006",490.72
"World","Marine energy","Electricity Generation (GWh)","2007",496.02
"World","Marine energy","Electricity Generation (GWh)","2008",487.85
"World","Marine energy","Electricity Generation (GWh)","2009",486.92
"World","Marine energy","Electricity Generation (GWh)","2010",514.32
"World","Marine energy","Electricity Generation (GWh)","2011",513.46
"World","Marine energy","Electricity Generation (GWh)","2012",498.35
"World","Marine energy","Electricity Generation (GWh)","2013",925.99
"World","Marine energy","Electricity Generation (GWh)","2014",999.16
"World","Marine energy","Electricity Generation (GWh)","2015",1008.00
"World","Marine energy","Electricity Generation (GWh)","2016",1043.85
"World","Marine energy","Electricity Generation (GWh)","2017",1049.09
"World","Marine energy","Electricity Generation (GWh)","2018",1022.42
"World","Marine energy","Electricity Generation (GWh)","2019",996.03
"World","Marine energy","Electricity Generation (GWh)","2020",985.12
"World","Marine energy","Electricity Generation (GWh)","2021",971.36
"World","Marine energy","Electricity Generation (GWh)","2022",956.79
"World","Marine energy","Electricity Generation (GWh)","2023",-
"World","Marine energy","Electricity Installed Capacity (MW)","2000",238.25
"World","Marine energy","Electricity Installed Capacity (MW)","2001",240.25
"World","Marine energy","Electricity Installed Capacity (MW)","2002",243.25
"World","Marine energy","Electricity Installed Capacity (MW)","2003",244.25
"World","Marine energy","Electricity Installed Capacity (MW)","2004",243.25
"World","Marine energy","Electricity Installed Capacity (MW)","2005",241.25
"World","Marine energy","Electricity Installed Capacity (MW)","2006",240.25
"World","Marine energy","Electricity Installed Capacity (MW)","2007",242.55
"World","Marine energy","Electricity Installed Capacity (MW)","2008",245.55
"World","Marine energy","Electricity Installed Capacity (MW)","2009",244.55
"World","Marine energy","Electricity Installed Capacity (MW)","2010",249.90
"World","Marine energy","Electricity Installed Capacity (MW)","2011",247.93
"World","Marine energy","Electricity Installed Capacity (MW)","2012",254.66
"World","Marine energy","Electricity Installed Capacity (MW)","2013",510.12
"World","Marine energy","Electricity Installed Capacity (MW)","2014",513.53
"World","Marine energy","Electricity Installed Capacity (MW)","2015",514.09
"World","Marine energy","Electricity Installed Capacity (MW)","2016",524.71
"World","Marine energy","Electricity Installed Capacity (MW)","2017",527.66
"World","Marine energy","Electricity Installed Capacity (MW)","2018",527.65
"World","Marine energy","Electricity Installed Capacity (MW)","2019",526.13
"World","Marine energy","Electricity Installed Capacity (MW)","2020",505.04
"World","Marine energy","Electricity Installed Capacity (MW)","2021",504.47
"World","Marine energy","Electricity Installed Capacity (MW)","2022",506.04
"World","Marine energy","Electricity Installed Capacity (MW)","2023",508.12
"World","Bioenergy","Electricity Generation (GWh)","2000",146270.50
"World","Bioenergy","Electricity Generation (GWh)","2001",146317.87
"World","Bioenergy","Electricity Generation (GWh)","2002",159988.82
"World","Bioenergy","Electricity Generation (GWh)","2003",172211.40
"World","Bioenergy","Electricity Generation (GWh)","2004",187810.28
"World","Bioenergy","Electricity Generation (GWh)","2005",209005.61
"World","Bioenergy","Electricity Generation (GWh)","2006",221684.43
"World","Bioenergy","Electricity Generation (GWh)","2007",244829.78
"World","Bioenergy","Electricity Generation (GWh)","2008",262969.41
"World","Bioenergy","Electricity Generation (GWh)","2009",281151.06
"World","Bioenergy","Electricity Generation (GWh)","2010",316689.28
"World","Bioenergy","Electricity Generation (GWh)","2011",334580.30
"World","Bioenergy","Electricity Generation (GWh)","2012",369996.28
"World","Bioenergy","Electricity Generation (GWh)","2013",396571.36
"World","Bioenergy","Electricity Generation (GWh)","2014",428095.75
"World","Bioenergy","Electricity Generation (GWh)","2015",455087.66
"World","Bioenergy","Electricity Generation (GWh)","2016",469808.33
"World","Bioenergy","Electricity Generation (GWh)","2017",492012.17
"World","Bioenergy","Electricity Generation (GWh)","2018",515837.26
"World","Bioenergy","Electricity Generation (GWh)","2019",545168.23
"World","Bioenergy","Electricity Generation (GWh)","2020",568553.65
"World","Bioenergy","Electricity Generation (GWh)","2021",609546.19
"World","Bioenergy","Electricity Generation (GWh)","2022",618915.82
"World","Bioenergy","Electricity Generation (GWh)","2023",-
"World","Bioenergy","Electricity Installed Capacity (MW)","2000",28967.81
"World","Bioenergy","Electricity Installed Capacity (MW)","2001",32148.54
"World","Bioenergy","Electricity Installed Capacity (MW)","2002",33328.64
"World","Bioenergy","Electricity Installed Capacity (MW)","2003",35902.25
"World","Bioenergy","Electricity Installed Capacity (MW)","2004",38656.21
"World","Bioenergy","Electricity Installed Capacity (MW)","2005",43497.43
"World","Bioenergy","Electricity Installed Capacity (MW)","2006",47441.39
"World","Bioenergy","Electricity Installed Capacity (MW)","2007",50594.37
"World","Bioenergy","Electricity Installed Capacity (MW)","2008",54546.28
"World","Bioenergy","Electricity Installed Capacity (MW)","2009",61447.89
"World","Bioenergy","Electricity Installed Capacity (MW)","2010",66073.97
"World","Bioenergy","Electricity Installed Capacity (MW)","2011",72498.69
"World","Bioenergy","Electricity Installed Capacity (MW)","2012",76879.10
"World","Bioenergy","Electricity Installed Capacity (MW)","2013",84274.56
"World","Bioenergy","Electricity Installed Capacity (MW)","2014",90101.44
"World","Bioenergy","Electricity Installed Capacity (MW)","2015",96110.06
"World","Bioenergy","Electricity Installed Capacity (MW)","2016",104873.60
"World","Bioenergy","Electricity Installed Capacity (MW)","2017",110588.53
"World","Bioenergy","Electricity Installed Capacity (MW)","2018",117821.09
"World","Bioenergy","Electricity Installed Capacity (MW)","2019",124097.62
"World","Bioenergy","Electricity Installed Capacity (MW)","2020",132016.97
"World","Bioenergy","Electricity Installed Capacity (MW)","2021",138338.29
"World","Bioenergy","Electricity Installed Capacity (MW)","2022",144285.62
"World","Bioenergy","Electricity Installed Capacity (MW)","2023",148840.07
"World","Geothermal energy","Electricity Generation (GWh)","2000",52571.04
"World","Geothermal energy","Electricity Generation (GWh)","2001",51678.62
"World","Geothermal energy","Electricity Generation (GWh)","2002",52604.68
"World","Geothermal energy","Electricity Generation (GWh)","2003",53775.78
"World","Geothermal energy","Electricity Generation (GWh)","2004",56060.82
"World","Geothermal energy","Electricity Generation (GWh)","2005",58466.67
"World","Geothermal energy","Electricity Generation (GWh)","2006",59769.35
"World","Geothermal energy","Electricity Generation (GWh)","2007",62668.88
"World","Geothermal energy","Electricity Generation (GWh)","2008",65262.18
"World","Geothermal energy","Electricity Generation (GWh)","2009",67289.73
"World","Geothermal energy","Electricity Generation (GWh)","2010",68436.18
"World","Geothermal energy","Electricity Generation (GWh)","2011",69796.18
"World","Geothermal energy","Electricity Generation (GWh)","2012",70876.70
"World","Geothermal energy","Electricity Generation (GWh)","2013",72408.02
"World","Geothermal energy","Electricity Generation (GWh)","2014",77343.67
"World","Geothermal energy","Electricity Generation (GWh)","2015",81228.85
"World","Geothermal energy","Electricity Generation (GWh)","2016",83240.84
"World","Geothermal energy","Electricity Generation (GWh)","2017",87051.64
"World","Geothermal energy","Electricity Generation (GWh)","2018",89464.19
"World","Geothermal energy","Electricity Generation (GWh)","2019",92001.02
"World","Geothermal energy","Electricity Generation (GWh)","2020",95444.69
"World","Geothermal energy","Electricity Generation (GWh)","2021",94653.53
"World","Geothermal energy","Electricity Generation (GWh)","2022",96878.35
"World","Geothermal energy","Electricity Generation (GWh)","2023",-
"World","Geothermal energy","Electricity Installed Capacity (MW)","2000",8272.70
"World","Geothermal energy","Electricity Installed Capacity (MW)","2001",7960.91
"World","Geothermal energy","Electricity Installed Capacity (MW)","2002",8113.45
"World","Geothermal energy","Electricity Installed Capacity (MW)","2003",8188.35
"World","Geothermal energy","Electricity Installed Capacity (MW)","2004",8208.88
"World","Geothermal energy","Electricity Installed Capacity (MW)","2005",8556.12
"World","Geothermal energy","Electricity Installed Capacity (MW)","2006",8758.70
"World","Geothermal energy","Electricity Installed Capacity (MW)","2007",9012.94
"World","Geothermal energy","Electricity Installed Capacity (MW)","2008",9318.82
"World","Geothermal energy","Electricity Installed Capacity (MW)","2009",9754.32
"World","Geothermal energy","Electricity Installed Capacity (MW)","2010",9914.32
"World","Geothermal energy","Electricity Installed Capacity (MW)","2011",10058.67
"World","Geothermal energy","Electricity Installed Capacity (MW)","2012",10517.67
"World","Geothermal energy","Electricity Installed Capacity (MW)","2013",10786.37
"World","Geothermal energy","Electricity Installed Capacity (MW)","2014",11248.72
"World","Geothermal energy","Electricity Installed Capacity (MW)","2015",11846.97
"World","Geothermal energy","Electricity Installed Capacity (MW)","2016",12172.97
"World","Geothermal energy","Electricity Installed Capacity (MW)","2017",12753.61
"World","Geothermal energy","Electricity Installed Capacity (MW)","2018",13156.66
"World","Geothermal energy","Electricity Installed Capacity (MW)","2019",13824.04
"World","Geothermal energy","Electricity Installed Capacity (MW)","2020",14157.34
"World","Geothermal energy","Electricity Installed Capacity (MW)","2021",14432.04
"World","Geothermal energy","Electricity Installed Capacity (MW)","2022",14652.91
"World","Geothermal energy","Electricity Installed Capacity (MW)","2023",15025.75
"World","Total non-renewable","Electricity Generation (GWh)","2000",12696773.89
"World","Total non-renewable","Electricity Generation (GWh)","2001",12861722.37
"World","Total non-renewable","Electricity Generation (GWh)","2002",13371183.31
"World","Total non-renewable","Electricity Generation (GWh)","2003",13930422.77
"World","Total non-renewable","Electricity Generation (GWh)","2004",14516684.90
"World","Total non-renewable","Electricity Generation (GWh)","2005",15092101.47
"World","Total non-renewable","Electricity Generation (GWh)","2006",15633640.53
"World","Total non-renewable","Electricity Generation (GWh)","2007",16358616.84
"World","Total non-renewable","Electricity Generation (GWh)","2008",16552817.40
"World","Total non-renewable","Electricity Generation (GWh)","2009",16323653.57
"World","Total non-renewable","Electricity Generation (GWh)","2010",17380687.62
"World","Total non-renewable","Electricity Generation (GWh)","2011",17888227.89
"World","Total non-renewable","Electricity Generation (GWh)","2012",18094283.77
"World","Total non-renewable","Electricity Generation (GWh)","2013",18467252.47
"World","Total non-renewable","Electricity Generation (GWh)","2014",18615762.86
"World","Total non-renewable","Electricity Generation (GWh)","2015",18817472.16
"World","Total non-renewable","Electricity Generation (GWh)","2016",19106441.18
"World","Total non-renewable","Electricity Generation (GWh)","2017",19471670.51
"World","Total non-renewable","Electricity Generation (GWh)","2018",20034249.08
"World","Total non-renewable","Electricity Generation (GWh)","2019",20057772.25
"World","Total non-renewable","Electricity Generation (GWh)","2020",19519310.13
"World","Total non-renewable","Electricity Generation (GWh)","2021",20517862.35
"World","Total non-renewable","Electricity Generation (GWh)","2022",20591381.93
"World","Total non-renewable","Electricity Generation (GWh)","2023",-
"World","Total non-renewable","Electricity Installed Capacity (MW)","2000",2761434.81
"World","Total non-renewable","Electricity Installed Capacity (MW)","2001",2780440.47
"World","Total non-renewable","Electricity Installed Capacity (MW)","2002",2889816.84
"World","Total non-renewable","Electricity Installed Capacity (MW)","2003",3011274.15
"World","Total non-renewable","Electricity Installed Capacity (MW)","2004",3100120.36
"World","Total non-renewable","Electricity Installed Capacity (MW)","2005",3206355.46
"World","Total non-renewable","Electricity Installed Capacity (MW)","2006",3346651.78
"World","Total non-renewable","Electricity Installed Capacity (MW)","2007",3474123.48
"World","Total non-renewable","Electricity Installed Capacity (MW)","2008",3577445.75
"World","Total non-renewable","Electricity Installed Capacity (MW)","2009",3697068.21
"World","Total non-renewable","Electricity Installed Capacity (MW)","2010",3846532.62
"World","Total non-renewable","Electricity Installed Capacity (MW)","2011",3977309.34
"World","Total non-renewable","Electricity Installed Capacity (MW)","2012",4081694.14
"World","Total non-renewable","Electricity Installed Capacity (MW)","2013",4191650.66
"World","Total non-renewable","Electricity Installed Capacity (MW)","2014",4326776.36
"World","Total non-renewable","Electricity Installed Capacity (MW)","2015",4420137.65
"World","Total non-renewable","Electricity Installed Capacity (MW)","2016",4535845.47
"World","Total non-renewable","Electricity Installed Capacity (MW)","2017",4631030.67
"World","Total non-renewable","Electricity Installed Capacity (MW)","2018",4765550.85
"World","Total non-renewable","Electricity Installed Capacity (MW)","2019",4820545.79
"World","Total non-renewable","Electricity Installed Capacity (MW)","2020",4885335.22
"World","Total non-renewable","Electricity Installed Capacity (MW)","2021",4955065.59
"World","Total non-renewable","Electricity Installed Capacity (MW)","2022",5033221.82
"World","Total non-renewable","Electricity Installed Capacity (MW)","2023",5113420.71
"World","Pumped storage","Electricity Generation (GWh)","2000",87909.91
"World","Pumped storage","Electricity Generation (GWh)","2001",87697.28
"World","Pumped storage","Electricity Generation (GWh)","2002",89309.43
"World","Pumped storage","Electricity Generation (GWh)","2003",89244.24
"World","Pumped storage","Electricity Generation (GWh)","2004",91000.74
"World","Pumped storage","Electricity Generation (GWh)","2005",93979.40
"World","Pumped storage","Electricity Generation (GWh)","2006",94249.19
"World","Pumped storage","Electricity Generation (GWh)","2007",97233.60
"World","Pumped storage","Electricity Generation (GWh)","2008",91983.40
"World","Pumped storage","Electricity Generation (GWh)","2009",89440.25
"World","Pumped storage","Electricity Generation (GWh)","2010",95405.14
"World","Pumped storage","Electricity Generation (GWh)","2011",90414.43
"World","Pumped storage","Electricity Generation (GWh)","2012",89051.20
"World","Pumped storage","Electricity Generation (GWh)","2013",88988.17
"World","Pumped storage","Electricity Generation (GWh)","2014",92254.35
"World","Pumped storage","Electricity Generation (GWh)","2015",94030.76
"World","Pumped storage","Electricity Generation (GWh)","2016",114411.12
"World","Pumped storage","Electricity Generation (GWh)","2017",121015.63
"World","Pumped storage","Electricity Generation (GWh)","2018",117466.15
"World","Pumped storage","Electricity Generation (GWh)","2019",114164.07
"World","Pumped storage","Electricity Generation (GWh)","2020",120105.99
"World","Pumped storage","Electricity Generation (GWh)","2021",124571.21
"World","Pumped storage","Electricity Generation (GWh)","2022",141345.13
"World","Pumped storage","Electricity Generation (GWh)","2023",-
"World","Pumped storage","Electricity Installed Capacity (MW)","2000",84966.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2001",80799.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2002",82575.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2003",82687.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2004",83998.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2005",86842.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2006",89524.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2007",93699.55
"World","Pumped storage","Electricity Installed Capacity (MW)","2008",95618.55
